10 90
1 2 1
1 3 19
1 4 18
1 5 15
1 6 19
1 7 2
1 8 4
1 9 3
1 10 1
2 1 4
2 3 4
2 4 5
2 5 15
2 6 3
2 7 1
2 8 3
2 9 3
2 10 16
3 1 17
3 2 10
3 4 8
3 5 9
3 6 20
3 7 18
3 8 2
3 9 4
3 10 2
4 1 2
4 2 1
4 3 3
4 5 12
4 6 17
4 7 1
4 8 10
4 9 7
4 10 10
5 1 14
5 2 7
5 3 1
5 4 13
5 6 20
5 7 18
5 8 18
5 9 6
5 10 20
6 1 5
6 2 15
6 3 13
6 4 8
6 5 4
6 7 1
6 8 9
6 9 3
6 10 4
7 1 17
7 2 18
7 3 8
7 4 9
7 5 20
7 6 17
7 8 17
7 9 11
7 10 16
8 1 3
8 2 8
8 3 4
8 4 2
8 5 20
8 6 2
8 7 8
8 9 16
8 10 16
9 1 10
9 2 16
9 3 3
9 4 4
9 5 18
9 6 6
9 7 15
9 8 11
9 10 17
10 1 2
10 2 13
10 3 5
10 4 1
10 5 5
10 6 17
10 7 15
10 8 6
10 9 8
