9000 10000
7642 5383 14
2097 3519 98
7447 811 93
4524 1793 39
6100 6865 89
4742 5358 20
3503 8342 28
8849 2870 86
5333 6911 33
4738 5777 53
31 4107 45
5522 5689 84
7047 3686 53
777 2104 95
6518 5057 26
1926 6863 10
7483 3492 3
5209 2636 51
2476 8504 67
8402 4112 28
4356 640 1
1525 502 52
4861 1443 87
7914 5969 73
5223 8240 100
1041 8920 37
1398 740 67
7014 8854 66
1575 2497 89
3311 4254 14
1044 7901 59
4104 8875 39
6667 766 79
5189 8046 80
813 5461 44
1686 1991 8
7307 2303 82
6533 8382 7
2984 5315 91
7152 7515 23
6280 8604 71
6847 2702 1
4567 5321 20
3936 150 97
2852 8664 7
5565 6463 54
4708 1104 43
6292 1004 18
8610 6414 87
7237 5228 45
2594 2569 85
2841 1194 5
5064 7558 26
2694 3525 72
1848 7072 8
7466 3015 39
6392 4244 42
192 3399 98
2266 48 59
3681 5205 60
1692 8698 23
1981 8995 9
1559 5090 89
982 8334 74
164 1051 87
3625 8839 67
8529 3679 22
3266 2414 58
3470 1923 71
4766 6143 41
179 5594 25
6030 3091 59
2686 7950 10
7017 6441 77
3897 605 21
6266 5287 34
8516 343 11
3562 8446 2
7253 3273 72
4380 5371 17
7548 4580 53
7526 2043 7
5166 3017 53
2675 236 57
5486 874 2
2106 1962 1
2337 7568 71
8463 7415 32
2247 6924 35
7777 5921 41
7481 8157 1
1274 7783 71
8430 8648 67
6874 4338 80
5893 4904 45
5708 3395 38
3288 8348 80
2850 8537 28
3216 1276 9
5535 3197 19
8656 3035 6
4047 2150 49
5201 8532 19
8693 2906 36
8143 3855 33
8179 5154 90
3196 6118 52
2310 4102 71
1344 7651 22
2527 5770 5
6640 6149 83
1828 1404 76
456 1230 62
2935 240 70
835 5454 70
7607 3406 34
8263 8292 67
4039 6171 96
3356 3993 93
5773 6237 3
6453 1115 3
3681 6708 64
7591 4979 44
7578 1486 28
415 2029 36
3143 4157 61
4231 664 33
4885 7577 77
4426 6405 23
451 1887 60
1334 1148 81
1949 1640 76
1691 966 77
1662 258 67
7601 8952 91
876 3656 68
3547 8933 40
8869 7618 58
5348 8247 42
6800 6939 63
7512 6155 53
1096 26 83
6911 3549 80
1719 5872 91
4886 190 13
4224 7908 53
34 6570 1
3883 3043 14
8043 7756 59
4581 2414 36
8991 3461 98
7674 1967 49
5149 2865 86
8292 6573 96
897 5388 62
1919 7635 71
8270 3344 45
5627 2061 17
3995 187 13
4122 165 52
8906 6162 8
512 4051 9
2010 2697 75
696 6766 59
5754 14 37
676 378 52
8622 2891 31
6127 6119 35
748 7779 37
5235 2501 4
3133 8879 46
5198 6179 74
183 4264 76
8043 3434 60
4356 7861 28
7755 7715 40
6013 4116 86
3415 3736 51
8038 204 32
997 7027 87
3935 121 46
1669 2186 55
8277 2799 81
8093 3671 95
2244 730 71
5689 1841 9
2375 6337 64
5454 4005 78
8038 3780 17
1488 6676 79
1195 2788 41
3335 8430 90
8615 8752 49
6107 5303 52
7727 7185 19
313 3204 71
1157 3832 15
5581 8658 87
267 6315 23
2609 7268 17
3015 1353 99
6023 4220 25
5380 3643 74
2443 5126 18
6498 3297 11
3895 3329 83
6605 6050 38
8264 4831 22
4504 7752 8
2460 1165 74
6888 791 80
8501 5390 93
1836 709 32
8848 3015 96
3651 5028 47
2029 8289 16
3961 5323 11
6785 977 7
1002 5034 10
1169 6940 89
1977 6677 35
6795 4272 44
5789 8314 20
3389 2933 2
4495 4346 17
2613 4058 72
3393 5302 94
1561 4893 1
8417 4414 62
1440 6774 56
3088 1933 32
4024 2310 96
2318 2089 20
3605 6319 45
6237 5447 71
640 6396 20
2773 4395 86
17 7160 37
5532 3430 1
150 5521 44
4025 4824 49
2497 3464 47
2742 6397 8
6914 4629 19
3411 1451 10
279 5477 72
7893 4180 46
2624 6716 79
1119 1571 41
4295 5746 22
1570 2070 20
8943 5761 26
7121 5339 34
2557 7249 61
4810 8448 19
4105 5748 21
4275 1869 2
5005 8412 94
2742 3506 2
1562 7014 54
8854 8068 18
118 770 16
6064 4633 57
4094 4733 32
3067 5202 50
7214 2982 60
2817 4229 14
4430 7198 46
683 8753 43
137 6918 68
4183 6392 25
1596 3834 97
4180 7865 11
8543 5104 35
4259 598 58
4150 1971 35
1364 7893 6
2093 8058 18
126 2990 74
404 38 53
5463 5992 39
3545 8204 13
8607 6440 44
5931 8122 89
775 4435 71
8524 7263 21
1382 7711 22
5452 6559 58
6108 6967 57
3454 8135 82
3915 3372 51
2063 2502 63
372 8911 61
5544 8976 4
5678 5800 99
7750 8363 12
3283 2042 26
7953 3556 70
5622 8948 86
4554 4677 74
7797 7430 80
8786 3463 19
4761 1826 33
8555 2361 5
1491 7591 89
2558 5241 28
4275 5681 15
84 6249 41
784 881 67
2253 1156 95
2520 4081 62
1799 8609 74
3068 8261 54
6950 4382 27
3920 6499 48
882 6739 78
1106 7632 84
747 3862 88
1204 7470 48
7219 7885 82
4660 5524 32
1566 7649 13
5039 5184 59
2884 7620 89
3729 6789 63
59 8234 30
5324 422 8
7304 941 50
3056 167 19
8743 8490 52
6742 6818 35
2897 5341 46
4811 710 74
3333 2384 53
8544 1320 44
1504 6965 62
6911 613 30
8230 6041 11
2305 5766 79
5441 115 23
6499 8713 96
2472 4113 4
546 8723 58
2201 8290 28
8135 3721 22
7270 5794 62
5299 5269 69
1915 195 67
1309 8544 87
7985 5627 51
3515 571 40
8335 5510 16
2808 6786 2
8996 3474 32
4857 126 94
7399 4794 33
3759 3431 9
1985 5740 81
3268 1581 90
2181 6339 63
7778 2140 80
147 576 2
5586 6482 62
1411 6028 3
5900 3333 83
4163 5685 16
5509 1664 100
5081 3714 99
6641 859 19
4232 7218 5
2585 1446 84
2595 6078 74
88 4549 60
537 7478 99
1311 3370 3
6407 45 60
5887 2859 9
557 8798 24
2454 425 76
5524 8763 28
2094 1253 3
1838 8457 7
4205 1681 29
4772 3212 4
3088 3718 15
7295 4537 14
4272 133 52
5845 223 67
4273 8451 2
2459 7837 44
2260 3091 67
4660 6668 42
3802 773 98
7819 8133 20
5163 7159 72
719 2971 98
6561 8745 86
228 226 82
1384 8735 45
710 1125 69
4263 6157 48
2526 6995 74
6259 7260 78
5221 945 36
6756 8014 15
3485 8117 99
715 8833 35
632 8361 88
3926 8537 86
8340 7600 87
719 554 53
5716 3372 49
5487 8867 10
1137 8976 73
6195 4047 81
8195 4919 17
3814 6870 80
3323 5071 40
2594 5057 73
3340 3793 71
1995 7468 85
5848 6407 72
2283 1132 28
3604 8940 83
8612 3589 89
881 1706 88
3484 4706 96
3248 1314 88
1160 7061 37
3320 5627 10
4137 2682 68
4716 7336 18
7922 8724 91
2743 6991 12
3313 4596 62
5708 8332 58
8788 6652 30
5390 8616 13
3085 3350 31
6576 8229 80
6386 2963 83
7391 8196 44
3064 1024 29
1147 3245 3
4517 1441 9
7905 4035 50
1294 3758 68
8964 8143 97
6212 1873 90
1387 4225 47
8542 2558 92
7957 5950 76
716 6814 7
6059 3952 9
1168 6897 4
4982 5013 5
150 5080 51
7163 6121 80
5089 1265 79
7939 2573 71
4461 6929 24
535 3257 51
8069 6865 31
41 8658 16
8613 6116 91
7929 1707 79
963 83 4
1660 5102 24
588 1644 5
8184 5942 6
4708 2126 16
6882 5886 74
8963 6206 48
6197 2108 79
6660 2550 28
465 8825 88
6640 8865 44
2819 1220 48
7417 8447 19
4605 5853 55
7721 4222 85
1043 2920 56
4179 2360 24
5097 8453 22
8235 1074 43
6872 1565 38
4654 4515 97
665 8705 20
1940 4696 36
6843 446 57
5964 6232 77
3644 1152 21
291 8387 49
8498 6587 41
8483 1355 97
7464 6719 1
3583 2052 10
4893 1086 75
6021 964 43
767 5439 60
8524 7564 77
5296 5542 74
3730 899 84
2681 8400 25
433 1703 26
5090 5298 65
8876 2882 8
2542 4781 92
7205 564 26
7665 8416 84
1022 3123 100
4250 4674 83
5705 8398 68
5670 8985 50
3116 1868 66
6989 6898 90
828 452 64
7307 5086 77
8139 3945 73
3925 186 28
1850 6281 95
8717 98 25
3909 3594 50
8314 5605 52
3952 6475 99
6339 4559 73
8753 1483 27
5551 5142 87
7517 6557 20
6444 6161 24
1150 3164 61
3721 8378 68
8945 272 86
6250 1983 31
47 7301 69
5643 8242 54
7741 5982 66
997 2653 73
2364 2628 12
3699 5613 9
6641 6785 95
1827 2782 50
4718 5099 3
8844 6672 56
6239 1306 41
8031 2031 8
2773 3017 26
1711 6704 58
2669 1965 78
2547 7447 53
5266 4950 75
3193 6955 47
1659 198 8
1184 6359 2
5759 6638 97
1884 2319 82
722 5515 68
3996 7212 80
4185 8803 53
2986 6742 43
5976 4538 99
6840 6782 6
4880 7577 19
2901 4576 23
2544 8561 19
8534 5507 16
2749 6452 15
4984 3535 74
2863 8303 61
8953 6670 18
8387 8774 18
5999 8109 4
8487 6549 42
8655 8053 47
5599 5830 50
6099 6268 99
8653 6309 5
5872 4783 21
4324 5271 87
875 5650 2
770 1239 62
8357 4109 82
8575 7832 22
4666 8797 50
2973 2624 95
3906 7019 44
8174 4304 22
35 3455 67
6597 7702 67
788 7344 27
6221 8560 37
1533 4351 49
2521 4012 98
7815 4590 76
2151 1677 37
3394 5639 69
6010 7340 43
6787 6799 52
7142 1446 47
8132 5309 63
1858 5783 62
263 4037 75
7971 5358 42
6157 7258 3
942 8794 85
7706 6301 19
8619 7779 69
7336 1073 82
4532 5687 52
709 1906 72
8843 7718 27
231 6515 100
5158 4881 4
5715 3157 69
4735 3177 90
4497 7679 36
